epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,10795.5,1.53524,1.43655,1.37522,0.61864,0.61281,0.63095,0.35859,1.44535,1.2523,1.35713,0.00637,0.00637,0.00637
57,10977,1.51864,1.43879,1.36293,0.62646,0.62505,0.64276,0.3668,1.43282,1.24151,1.34262,0.006304,0.006304,0.006304
58,11156.3,1.52703,1.43408,1.37311,0.623,0.63308,0.64762,0.37118,1.42415,1.24218,1.34556,0.006238,0.006238,0.006238
59,11336,1.51656,1.43451,1.36057,0.65226,0.62392,0.65932,0.37902,1.42654,1.23096,1.34129,0.006172,0.006172,0.006172
60,11515.1,1.51051,1.41666,1.36041,0.65579,0.64362,0.66185,0.37941,1.42506,1.21744,1.34347,0.006106,0.006106,0.006106
61,11694.8,1.50406,1.40364,1.36212,0.63916,0.64874,0.65838,0.37845,1.42305,1.21813,1.34147,0.00604,0.00604,0.00604
62,11882.6,1.50368,1.40365,1.35945,0.65946,0.64861,0.66979,0.38564,1.42725,1.20788,1.34417,0.005974,0.005974,0.005974
63,12069.7,1.48765,1.38276,1.34828,0.62274,0.66821,0.66861,0.39197,1.41394,1.19643,1.33966,0.005908,0.005908,0.005908
64,12256.6,1.49456,1.37726,1.34952,0.64468,0.66426,0.67134,0.39047,1.42018,1.19071,1.34024,0.005842,0.005842,0.005842
65,12445,1.49939,1.3966,1.34952,0.65252,0.65011,0.6775,0.39547,1.41691,1.18719,1.33708,0.005776,0.005776,0.005776
66,12632.2,1.48808,1.37735,1.3434,0.66691,0.65245,0.68341,0.39841,1.41596,1.18054,1.33326,0.00571,0.00571,0.00571
67,12820.1,1.48441,1.35428,1.34202,0.65252,0.67201,0.68655,0.40254,1.4058,1.17334,1.33172,0.005644,0.005644,0.005644
68,13009.2,1.47437,1.36363,1.33747,0.67059,0.65103,0.68665,0.40376,1.40311,1.16164,1.33135,0.005578,0.005578,0.005578
69,13197.3,1.47478,1.35278,1.32997,0.66309,0.66503,0.68886,0.40876,1.3965,1.15673,1.32597,0.005512,0.005512,0.005512
70,13389,1.46948,1.34341,1.33124,0.66891,0.6642,0.69151,0.40604,1.39813,1.15027,1.32601,0.005446,0.005446,0.005446
71,13577.7,1.47915,1.35014,1.33581,0.67855,0.64674,0.68832,0.40862,1.39413,1.15279,1.3186,0.00538,0.00538,0.00538
72,13765.4,1.46368,1.32472,1.3279,0.68355,0.65101,0.69675,0.4126,1.3997,1.14108,1.3239,0.005314,0.005314,0.005314
73,13953.1,1.46112,1.33174,1.32709,0.68439,0.66177,0.70242,0.41643,1.39402,1.1318,1.32213,0.005248,0.005248,0.005248
74,14140.9,1.44987,1.32249,1.32402,0.68659,0.65239,0.70647,0.41811,1.39436,1.13018,1.32236,0.005182,0.005182,0.005182
75,14329.4,1.45517,1.31024,1.31991,0.67296,0.67503,0.70756,0.42007,1.38861,1.1272,1.31768,0.005116,0.005116,0.005116
76,14517.3,1.45434,1.3099,1.32317,0.64333,0.69416,0.70729,0.42291,1.38412,1.12445,1.31522,0.00505,0.00505,0.00505
77,14705.8,1.4384,1.29543,1.31252,0.65407,0.69642,0.71548,0.42539,1.37981,1.11425,1.31107,0.004984,0.004984,0.004984
78,14894.2,1.44464,1.29296,1.31057,0.68579,0.68862,0.72114,0.43254,1.37806,1.10002,1.3108,0.004918,0.004918,0.004918
79,15081.9,1.43573,1.2825,1.31025,0.68002,0.68214,0.71884,0.43028,1.37481,1.09938,1.3086,0.004852,0.004852,0.004852
80,15268.7,1.42636,1.27042,1.29838,0.69443,0.68398,0.72304,0.43407,1.37449,1.0939,1.3024,0.004786,0.004786,0.004786
81,15454.5,1.42369,1.26557,1.29573,0.70955,0.68523,0.72161,0.43308,1.37452,1.09585,1.30393,0.00472,0.00472,0.00472
82,15635.1,1.42869,1.26683,1.30138,0.69477,0.68351,0.7186,0.43083,1.37124,1.09103,1.30514,0.004654,0.004654,0.004654
83,15815.8,1.42152,1.25356,1.29535,0.71546,0.67303,0.72569,0.4372,1.36258,1.08454,1.29788,0.004588,0.004588,0.004588
84,15996.9,1.42439,1.2564,1.29926,0.69796,0.68337,0.73105,0.43987,1.36386,1.08164,1.29795,0.004522,0.004522,0.004522
85,16178.3,1.42125,1.24497,1.29801,0.7224,0.67807,0.73586,0.44277,1.36595,1.07743,1.30205,0.004456,0.004456,0.004456
86,16359.8,1.40538,1.22965,1.2933,0.70806,0.68234,0.73728,0.44595,1.35878,1.06789,1.30009,0.00439,0.00439,0.00439
87,16542,1.40551,1.22825,1.28477,0.72022,0.6784,0.73664,0.44576,1.35657,1.06257,1.2955,0.004324,0.004324,0.004324
88,16724.6,1.40337,1.22363,1.28346,0.70739,0.68768,0.73695,0.44927,1.34857,1.05835,1.2881,0.004258,0.004258,0.004258
89,16904.6,1.39099,1.20947,1.2738,0.71615,0.68672,0.73967,0.45311,1.34488,1.05178,1.28594,0.004192,0.004192,0.004192
90,17085,1.39292,1.22465,1.27613,0.68998,0.70915,0.74121,0.45209,1.34157,1.05061,1.28155,0.004126,0.004126,0.004126
91,17265.2,1.39121,1.1911,1.27657,0.70415,0.70197,0.74315,0.45625,1.34047,1.04411,1.28153,0.00406,0.00406,0.00406
92,17445.2,1.39525,1.20856,1.27716,0.68855,0.71989,0.74498,0.45849,1.3393,1.03968,1.27922,0.003994,0.003994,0.003994
93,17625.8,1.38804,1.19887,1.27241,0.69776,0.72028,0.74791,0.46076,1.33927,1.03255,1.27913,0.003928,0.003928,0.003928
94,17805.7,1.38119,1.18297,1.26954,0.70434,0.71346,0.74906,0.46139,1.33897,1.03113,1.27801,0.003862,0.003862,0.003862
95,17987,1.37471,1.18064,1.26415,0.72752,0.70406,0.75292,0.46417,1.3379,1.02696,1.27933,0.003796,0.003796,0.003796
96,18170.3,1.37651,1.17179,1.26475,0.71834,0.70925,0.75694,0.46859,1.33432,1.02049,1.2769,0.00373,0.00373,0.00373
97,18351.1,1.37418,1.17043,1.26313,0.73283,0.70634,0.75986,0.47007,1.33368,1.01427,1.27462,0.003664,0.003664,0.003664
98,18531.4,1.37408,1.16651,1.25815,0.73227,0.71324,0.76237,0.47237,1.33282,1.01036,1.27339,0.003598,0.003598,0.003598
99,18710.4,1.36944,1.16928,1.25615,0.74122,0.71045,0.76445,0.47297,1.33106,1.00783,1.27148,0.003532,0.003532,0.003532
100,18891.9,1.35984,1.14485,1.25231,0.73416,0.71819,0.76672,0.47643,1.32951,1.00407,1.27006,0.003466,0.003466,0.003466
101,19073.4,1.35509,1.15106,1.25175,0.72783,0.73029,0.76777,0.47744,1.32813,1.00268,1.26829,0.0034,0.0034,0.0034
102,19254,1.34706,1.1332,1.24412,0.72419,0.72561,0.76857,0.47743,1.32679,0.99736,1.26749,0.003334,0.003334,0.003334
103,19434.4,1.34015,1.1188,1.24319,0.7464,0.71736,0.77099,0.47984,1.32606,0.99332,1.26713,0.003268,0.003268,0.003268
104,19616,1.34895,1.13542,1.2487,0.74209,0.71996,0.77342,0.48002,1.32499,0.99012,1.2671,0.003202,0.003202,0.003202
105,19797.1,1.33414,1.10492,1.23802,0.75558,0.71292,0.77544,0.48205,1.32449,0.98603,1.26643,0.003136,0.003136,0.003136
106,19976.8,1.33388,1.11255,1.23795,0.75768,0.71383,0.77763,0.48391,1.32215,0.98045,1.26476,0.00307,0.00307,0.00307
107,20159.8,1.32094,1.09904,1.22693,0.73026,0.74046,0.7781,0.48509,1.31834,0.97621,1.26309,0.003004,0.003004,0.003004
108,20340.5,1.32841,1.10136,1.23569,0.73622,0.74355,0.77948,0.48748,1.31735,0.97397,1.26175,0.002938,0.002938,0.002938
109,20520.8,1.32031,1.09791,1.23261,0.73867,0.73889,0.78185,0.48953,1.31551,0.97136,1.26099,0.002872,0.002872,0.002872
110,20701.1,1.31464,1.0896,1.22655,0.7534,0.72784,0.78142,0.49022,1.31294,0.96842,1.2594,0.002806,0.002806,0.002806
111,20880.5,1.31724,1.09079,1.22736,0.75372,0.73124,0.78365,0.49165,1.31193,0.9667,1.2585,0.00274,0.00274,0.00274
112,21061.1,1.31315,1.07627,1.22655,0.76727,0.72556,0.7855,0.49334,1.31109,0.96559,1.25729,0.002674,0.002674,0.002674
113,21241.6,1.30535,1.07041,1.22087,0.76925,0.72849,0.7865,0.49516,1.30932,0.96242,1.25608,0.002608,0.002608,0.002608
114,21420.7,1.30468,1.06889,1.21717,0.7731,0.72683,0.78777,0.49657,1.30884,0.96018,1.25587,0.002542,0.002542,0.002542
115,21600.8,1.29917,1.05817,1.21472,0.77418,0.73276,0.78933,0.49771,1.30701,0.95753,1.25501,0.002476,0.002476,0.002476
116,21782.5,1.29017,1.05409,1.20831,0.77699,0.73259,0.79083,0.49892,1.30597,0.95503,1.25444,0.00241,0.00241,0.00241
117,21962.6,1.29296,1.04399,1.21012,0.77655,0.73408,0.79198,0.49989,1.30388,0.95211,1.25319,0.002344,0.002344,0.002344
118,22143.5,1.29095,1.04927,1.20649,0.78344,0.73499,0.7936,0.5018,1.30244,0.94824,1.25263,0.002278,0.002278,0.002278
119,22323.7,1.28805,1.04344,1.20814,0.78268,0.7353,0.79513,0.50289,1.3014,0.9449,1.25169,0.002212,0.002212,0.002212
120,22504.1,1.27968,1.03916,1.20334,0.78294,0.73791,0.79631,0.50441,1.2999,0.94243,1.25075,0.002146,0.002146,0.002146
121,22685.8,1.27096,1.02975,1.19942,0.78454,0.73774,0.79674,0.50472,1.29838,0.94016,1.25039,0.00208,0.00208,0.00208
122,22864.7,1.2754,1.02949,1.19946,0.78923,0.73339,0.79822,0.50695,1.29684,0.93817,1.24937,0.002014,0.002014,0.002014
123,23043.7,1.26264,1.01242,1.19289,0.7864,0.73635,0.79944,0.50784,1.29485,0.93556,1.24838,0.001948,0.001948,0.001948
124,23225.1,1.26395,1.01944,1.19421,0.78463,0.74003,0.80113,0.50973,1.29377,0.93275,1.2477,0.001882,0.001882,0.001882
125,23405.5,1.25862,1.00048,1.19204,0.78362,0.73942,0.80293,0.50955,1.29302,0.93088,1.24707,0.001816,0.001816,0.001816
126,23585.5,1.26012,1.01139,1.19097,0.79226,0.73767,0.80416,0.51088,1.29193,0.92868,1.24606,0.00175,0.00175,0.00175
127,23767.6,1.25282,0.9983,1.188,0.79214,0.73684,0.80468,0.51233,1.29111,0.9273,1.2453,0.001684,0.001684,0.001684
128,23950.7,1.25104,0.99469,1.18505,0.79297,0.73613,0.80553,0.5146,1.28993,0.92477,1.24466,0.001618,0.001618,0.001618
129,24131.3,1.24302,0.988,1.18236,0.78492,0.74161,0.80645,0.51455,1.28871,0.9225,1.24372,0.001552,0.001552,0.001552
130,24311,1.23454,0.98359,1.1787,0.78229,0.74528,0.80769,0.51523,1.28763,0.922,1.24289,0.001486,0.001486,0.001486
131,24491.1,1.23138,0.9709,1.17323,0.78757,0.74211,0.80838,0.51666,1.28702,0.92002,1.24233,0.00142,0.00142,0.00142
132,24672.7,1.22942,0.98083,1.17705,0.78853,0.74236,0.80852,0.51715,1.2865,0.91873,1.242,0.001354,0.001354,0.001354
133,24852.7,1.2314,0.97258,1.17314,0.78614,0.74733,0.8088,0.5174,1.28569,0.91764,1.24153,0.001288,0.001288,0.001288
134,25034.1,1.22002,0.95782,1.16843,0.78635,0.74634,0.80927,0.51751,1.28485,0.9156,1.24105,0.001222,0.001222,0.001222
135,25214.8,1.22984,0.96914,1.1743,0.78169,0.75461,0.80992,0.51912,1.28456,0.91428,1.24062,0.001156,0.001156,0.001156
136,25397.7,1.21043,0.953,1.16086,0.78451,0.75421,0.81054,0.52029,1.28437,0.91314,1.24033,0.00109,0.00109,0.00109
137,25578.4,1.21177,0.95449,1.16565,0.78659,0.75401,0.81126,0.52041,1.28364,0.91205,1.23999,0.001024,0.001024,0.001024
138,25758.7,1.21024,0.95146,1.16262,0.78729,0.75448,0.81193,0.52093,1.28354,0.91057,1.2396,0.000958,0.000958,0.000958
139,25938.9,1.20442,0.94918,1.16328,0.78481,0.75537,0.81247,0.52095,1.28285,0.90958,1.23901,0.000892,0.000892,0.000892
140,26119.1,1.19852,0.93601,1.16012,0.78243,0.75938,0.81269,0.52204,1.28195,0.90873,1.23813,0.000826,0.000826,0.000826
141,26284.4,1.15158,0.83514,1.15127,0.78702,0.75741,0.81323,0.52188,1.28164,0.90812,1.23803,0.00076,0.00076,0.00076
142,26449.2,1.12214,0.81423,1.13839,0.7884,0.75864,0.81438,0.52255,1.28049,0.9071,1.2374,0.000694,0.000694,0.000694
143,26613.5,1.1164,0.79593,1.13187,0.78939,0.76102,0.8149,0.52293,1.27973,0.90651,1.23705,0.000628,0.000628,0.000628
144,26778,1.115,0.80034,1.13142,0.78879,0.76156,0.81565,0.52413,1.27911,0.90484,1.23681,0.000562,0.000562,0.000562
145,26944.1,1.10081,0.78695,1.12442,0.78819,0.76021,0.81602,0.52489,1.27846,0.90385,1.23596,0.000496,0.000496,0.000496
146,27109,1.10079,0.77932,1.12398,0.7904,0.75784,0.81676,0.52569,1.27813,0.90304,1.23586,0.00043,0.00043,0.00043
147,27272.7,1.09732,0.77886,1.1231,0.79023,0.75911,0.81728,0.52578,1.27794,0.90229,1.23612,0.000364,0.000364,0.000364
148,27440,1.0867,0.76779,1.11955,0.78975,0.75934,0.81794,0.52646,1.27768,0.90148,1.23626,0.000298,0.000298,0.000298
149,27604.9,1.08305,0.76128,1.11213,0.7915,0.75935,0.81839,0.52715,1.27631,0.90114,1.23492,0.000232,0.000232,0.000232
150,27769.4,1.08319,0.75825,1.11472,0.79152,0.76554,0.81862,0.52739,1.27586,0.90045,1.23502,0.000166,0.000166,0.000166
